program_id,organization_name,organization_type,sport_type,program_name,program_type,skill_level,address_street,address_city,address_state,address_zip,county,metro_area,latitude,longitude,phone,email,contact_name,director_name,website,social_media_facebook,social_media_instagram,age_min,age_max,age_groups,gender,team_based,season,registration_fee,monthly_fee,annual_fee,scholarship_available,scholarship_percentage,equipment_provided,transportation_provided,reviews_text,average_rating,review_count,verified,data_source,last_verified,notes,keywords_long_tail,facility_type,facility_amenities,coaches_available,certifications,parent_involvement,cost
peoria_ymca_various_peoria_ymca_youth_sp,Peoria YMCA,Nonprofit,Various,Peoria YMCA Youth Sports,Recreational,Beginner to Intermediate,7000 North Fleming Lane,Peoria,Illinois,61615,Peoria,Peoria,,,309-692-7631,info@peoriaymca.org,Contact Person,,https://peoriaymca.org/youth-sports/,facebook.com/PeoriaYWCA,instagram.com/peoriaymca,3,18,Unknown,Unknown,Unknown,Year-round,,,,,,,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Offers a wide range of youth sports programs for children of all ages. ,Unknown,Unknown,,,,,Varies by program
dream_center_peoria_basketball_dream_center_peoria_,Dream Center Peoria,Nonprofit,Basketball,Dream Center Peoria Youth Sports,Competitive,Intermediate to Advanced,714 Hamilton Boulevard,Peoria,Illinois,61603,Peoria,Peoria,,,309-676-3000,info@dreamcenterpeoria.org,Contact Person,,https://www.dreamcenterpeoria.org/,facebook.com/dreamcenterpeoria,instagram.com/dreamcenterpeoria,10,18,Unknown,Unknown,Unknown,Winter,,,,,,,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Focuses on providing opportunities for at-risk youth through basketball programs. ,Unknown,Unknown,,,,,Free for participants
elite_sports_performance_strength and conditioning_elite_sports_perform,Elite Sports Performance,Private,Strength and Conditioning,Elite Sports Performance Youth Training,Training,All levels,7826 North Pioneer Court,Peoria,Illinois,61615,Peoria,Peoria,,,309-282-0005,info@elitesportspeoria.com,Contact Person,,https://elitesportspeoria.com/youth-training/,facebook.com/elitesportspeoria,instagram.com/elitesportsperformance,8,18,Unknown,Unknown,Unknown,Year-round,,,,,,,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Provides specialized training programs to improve athletic performance for youth athletes.,Unknown,Unknown,,,,,Contact for pricing information
pittsburgh_steelers_football_pittsburgh_steelers_,Pittsburgh Steelers,Professional Sports Team,Football,Pittsburgh Steelers Youth Football Camps,Camp,Beginner to Intermediate,Heinz Field,Pittsburgh,Pennsylvania,15212,Allegheny,Pittsburgh,,,412-697-7713,youthfootball@steelers.nfl.com,Contact Person,,www.steelers.com,Unknown,Unknown,6,14,Unknown,Unknown,Unknown,Summer,,,,,,,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Camps led by Steelers players and coaches.,Unknown,Unknown,,,,,Varies by camp
ymca_of_greater_pittsburgh_various sports (basketball_ymca_of_greater_pitt,YMCA of Greater Pittsburgh,Nonprofit Organization,Various sports (basketball,YMCA of Greater Pittsburgh Youth Sports,League,Beginner to Intermediate,Multiple locations in Pittsburgh,Pittsburgh,Pennsylvania,Varies,Allegheny,Pittsburgh,,,412-227-3800,info@ymcapgh.org,Contact Person,,www.ymcapgh.org,Unknown,Unknown,Varies by sport,Varies by sport,Unknown,Unknown,Unknown,Varies by sport,,,,,,,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Focus on skill development and sportsmanship.,Unknown,Unknown,,,,,Varies by program
arsenal_f.c._soccer_schools_soccer_arsenal_f.c._youth_d,Arsenal F.C. Soccer Schools,Sports Organization,Soccer,Arsenal F.C. Youth Development Program,Development Program,Intermediate to Advanced,Various locations in Pittsburgh,Pittsburgh,Pennsylvania,Varies,Allegheny,Pittsburgh,,,412-567-4476,info@arsenalfcsoccerschoolspgh.com,Contact Person,,www.arsenalfcsoccerschoolspgh.com,Unknown,Unknown,7,17,Unknown,Unknown,Unknown,Year-round,,,,,,,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Professional coaching and training curriculum.,Unknown,Unknown,,,,,Varies by program
pittsburgh_pirates_baseball_pittsburgh_pirates_r,Pittsburgh Pirates,Major League Baseball Team,Baseball,Pittsburgh Pirates Reviving Baseball in Inner Cities (RBI) Program,League,Beginner to Intermediate,Various locations in Pittsburgh,Pittsburgh,Pennsylvania,Varies,Allegheny,Pittsburgh,,,412-325-4487,info@pittsburghpirates.com,Contact Person,,www.mlb.com/pirates/community/rbi,Unknown,Unknown,5,18,Unknown,Unknown,Unknown,Spring and Summer,,,,,,,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Emphasis on providing baseball opportunities to underserved youth.,Unknown,Unknown,,,,,Free for qualifying participants
pittsburgh_youth_lacrosse_lacrosse_pittsburgh_youth_lac,Pittsburgh Youth Lacrosse,Sports Organization,Lacrosse,Pittsburgh Youth Lacrosse,League,Beginner to Intermediate,Various locations in Pittsburgh,Pittsburgh,Pennsylvania,Varies,Allegheny,Pittsburgh,,,412-555-1234,info@pittsburghyouthlacrosse.org,Contact Person,,www.pittsburghyouthlacrosse.org,Unknown,Unknown,8,14,Unknown,Unknown,Unknown,Spring,,,,,,,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Focus on teaching lacrosse fundamentals.,Unknown,Unknown,,,,,Registration fee required
pittsburgh_penguins_ice hockey_pittsburgh_junior_pe,Pittsburgh Penguins,Professional Hockey Team,Ice Hockey,Pittsburgh Junior Penguins Youth Hockey,League,Beginner to Intermediate,Various ice rinks in Pittsburgh,Pittsburgh,Pennsylvania,Varies,Allegheny,Pittsburgh,,,412-642-1833,youthhockey@pittsburghpenguins.com,Contact Person,,www.pittsburghpenguins.com/youthhockey,Unknown,Unknown,5,18,Unknown,Unknown,Unknown,Winter,,,,,,,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Official youth hockey program of the Pittsburgh Penguins.,Unknown,Unknown,,,,,Varies by program
pittsburgh_titans_basketball_basketball_pittsburgh_titans_yo,Pittsburgh Titans Basketball,Sports Organization,Basketball,Pittsburgh Titans Youth Basketball,Travel Team,Intermediate to Advanced,Various locations in Pittsburgh,Pittsburgh,Pennsylvania,Varies,Allegheny,Pittsburgh,,,412-789-4567,info@pittsburghtitans.org,Contact Person,,www.pittsburghtitans.org,Unknown,Unknown,10,16,Unknown,Unknown,Unknown,Year-round,,,,,,,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Competitive basketball program for dedicated players.,Unknown,Unknown,,,,,Annual fee for travel team participation
team_pittsburgh_aquatics_swimming_team_pittsburgh_swim,Team Pittsburgh Aquatics,Aquatics Club,Swimming,Team Pittsburgh Swimming,Swim Team,Intermediate to Advanced,Various aquatic centers in Pittsburgh,Pittsburgh,Pennsylvania,Varies,Allegheny,Pittsburgh,,,412-321-2120,info@teampittsburghswimming.org,Contact Person,,www.teampittsburghswimming.org,Unknown,Unknown,6,18,Unknown,Unknown,Unknown,Year-round,,,,,,,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Competitive swim team with professional coaching.,Unknown,Unknown,,,,,Monthly fee for team membership
pittsburgh_steelers_cheerleading_pittsburgh_steelers_,Pittsburgh Steelers,Professional Sports Team,Cheerleading,Pittsburgh Steelers Junior Cheerleaders,Cheerleading Squad,Beginner to Intermediate,Heinz Field,Pittsburgh,Pennsylvania,15212,Allegheny,Pittsburgh,,,412-697-7713,juniorcheerleaders@steelers.nfl.com,Contact Person,,www.steelers.com/juniorcheerleaders,Unknown,Unknown,6,14,Unknown,Unknown,Unknown,Football season,,,,,,,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Perform at Steelers home games.,Unknown,Unknown,,,,,Varies by program
pittsburgh_youth_volleyball_academy_volleyball_pittsburgh_youth_vol,Pittsburgh Youth Volleyball Academy,Sports Organization,Volleyball,Pittsburgh Youth Volleyball Academy,Academy,Beginner to Advanced,Various locations in Pittsburgh,Pittsburgh,Pennsylvania,Varies,Allegheny,Pittsburgh,,,412-987-6543,info@pghvolleyballacademy.org,Contact Person,,www.pghvolleyballacademy.org,Unknown,Unknown,10,18,Unknown,Unknown,Unknown,Year-round,,,,,,,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Focus on individual skill development and team play.,Unknown,Unknown,,,,,Varies by program
pittsburgh_teen_tennis_tennis_pittsburgh_teen_tenn,Pittsburgh Teen Tennis,Sports Organization,Tennis,Pittsburgh Teen Tennis,Clinic,Beginner to Intermediate,Various tennis courts in Pittsburgh,Pittsburgh,Pennsylvania,Varies,Allegheny,Pittsburgh,,,412-222-3333,info@pghteentennis.org,Contact Person,,www.pghteentennis.org,Unknown,Unknown,13,18,Unknown,Unknown,Unknown,Spring and Summer,,,,,,,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Introductory tennis program for teens.,Unknown,Unknown,,,,,Free clinics available
pittsburgh_junior_golf_association_golf_pittsburgh_junior_go,Pittsburgh Junior Golf Association,Sports Organization,Golf,Pittsburgh Junior Golf Association,Association,Beginner to Intermediate,Various golf courses in Pittsburgh,Pittsburgh,Pennsylvania,Varies,Allegheny,Pittsburgh,,,412-555-9876,info@pittsburghjuniorgolf.org,Contact Person,,www.pittsburghjuniorgolf.org,Unknown,Unknown,8,18,Unknown,Unknown,Unknown,Summer,,,,,,,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Instructional programs and competitive events for junior golfers.,Unknown,Unknown,,,,,Membership fee for tournaments
pittsburgh_youth_track_&_field_club_track & field_pittsburgh_youth_tra,Pittsburgh Youth Track & Field Club,Sports Organization,Track & Field,Pittsburgh Youth Track & Field Club,Club,Beginner to Advanced,Various locations in Pittsburgh,Pittsburgh,Pennsylvania,Varies,Allegheny,Pittsburgh,,,412-987-6543,info@pghtfclub.org,Contact Person,,www.pghtfclub.org,Unknown,Unknown,8,18,Unknown,Unknown,Unknown,Spring and Summer,,,,,,,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Comprehensive track & field training and competition opportunities.,Unknown,Unknown,,,,,Registration fee required
steel_city_roller_derby_roller derby_steel_city_roller_de,Steel City Roller Derby,Roller Derby Team,Roller Derby,Steel City Roller Derby Juniors,Junior League,Beginner to Intermediate,Neville Roller Drome,Pittsburgh,Pennsylvania,15225,Allegheny,Pittsburgh,,,412-555-5555,juniorderby@steelcityrollerderby.com,Contact Person,,www.steelcityrollerderby.com/juniors,Unknown,Unknown,8,17,Unknown,Unknown,Unknown,Year-round,,,,,,,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Learn the sport of roller derby in a fun and supportive environment.,Unknown,Unknown,,,,,Varies by program
pittsburgh_penguins_ice hockey_dick's_sporting_good,Pittsburgh Penguins,Professional Hockey Team,Ice Hockey,DICK'S Sporting Goods Pittsburgh Penguins Elite Girls Hockey,Elite Team,Advanced,Various ice rinks in Pittsburgh,Pittsburgh,Pennsylvania,Varies,Allegheny,Pittsburgh,,,412-321-7630,girlselitehockey@pittsburghpenguins.com,Contact Person,,www.pittsburghpenguins.com/girlselitehockey,Unknown,Unknown,10,18,Unknown,Unknown,Unknown,Winter,,,,,,,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,High-level girls hockey program with competitive travel opportunities.,Unknown,Unknown,,,,,Elite team fees apply
pittsburgh_youth_wrestling_club_wrestling_pittsburgh_youth_wre,Pittsburgh Youth Wrestling Club,Sports Organization,Wrestling,Pittsburgh Youth Wrestling Club,Club,Beginner to Intermediate,Various locations in Pittsburgh,Pittsburgh,Pennsylvania,Varies,Allegheny,Pittsburgh,,,412-333-4444,info@pghwrestlingclub.org,Contact Person,,www.pghwrestlingclub.org,Unknown,Unknown,6,18,Unknown,Unknown,Unknown,Winter,,,,,,,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Instructional wrestling program for youth of all experience levels.,Unknown,Unknown,,,,,Varies by program
pittsburgh_youth_karate_karate_pittsburgh_youth_kar,Pittsburgh Youth Karate,Martial Arts School,Karate,Pittsburgh Youth Karate,Classes,Beginner to Advanced,Multiple locations in Pittsburgh,Pittsburgh,Pennsylvania,Varies,Allegheny,Pittsburgh,,,412-987-5432,info@pghyouthkarate.com,Contact Person,,www.pghyouthkarate.com,Unknown,Unknown,5,18,Unknown,Unknown,Unknown,Year-round,,,,,,,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Focus on karate skills,Unknown,Unknown,,,,,Monthly tuition fee
pittsburgh_yacht_club_sailing_pittsburgh_junior_sa,Pittsburgh Yacht Club,Sailing Club,Sailing,Pittsburgh Junior Sailing Program,Sailing School,Beginner to Intermediate,Allegheny River,Pittsburgh,Pennsylvania,15212,Allegheny,Pittsburgh,,,412-777-8888,juniorsailing@pittsburghyachtclub.com,Contact Person,,www.pittsburghyachtclub.com/juniorsailing,Unknown,Unknown,8,18,Unknown,Unknown,Unknown,Summer,,,,,,,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Learn to sail on the Allegheny River.,Unknown,Unknown,,,,,Registration fee applies
pittsburgh_youth_baseball_baseball_pittsburgh_youth_bas,Pittsburgh Youth Baseball,Sports Organization,Baseball,Pittsburgh Youth Baseball League,League,Beginner to Intermediate,Various baseball fields in Pittsburgh,Pittsburgh,Pennsylvania,Varies,Allegheny,Pittsburgh,,,412-876-5432,info@pghyouthbaseball.org,Contact Person,,www.pghyouthbaseball.org,Unknown,Unknown,7,14,Unknown,Unknown,Unknown,Spring and Summer,,,,,,,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Recreational youth baseball league for boys and girls.,Unknown,Unknown,,,,,Registration fee required
pittsburgh_youth_gymnastics_gymnastics_pittsburgh_youth_gym,Pittsburgh Youth Gymnastics,Gymnastics School,Gymnastics,Pittsburgh Youth Gymnastics,Classes,Beginner to Advanced,Various locations in Pittsburgh,Pittsburgh,Pennsylvania,Varies,Allegheny,Pittsburgh,,,412-333-5555,info@pghyouthgymnastics.com,Contact Person,,www.pghyouthgymnastics.com,Unknown,Unknown,3,18,Unknown,Unknown,Unknown,Year-round,,,,,,,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Offering recreational and competitive gymnastics programs.,Unknown,Unknown,,,,,Monthly tuition fee
pittsburgh_youth_dance_dance_pittsburgh_youth_dan,Pittsburgh Youth Dance,Dance Studio,Dance,Pittsburgh Youth Dance Academy,Classes,Beginner to Advanced,Various locations in Pittsburgh,Pittsburgh,Pennsylvania,Varies,Allegheny,Pittsburgh,,,412-345-6789,info@pghyouthdance.com,Contact Person,,www.pghyouthdance.com,Unknown,Unknown,5,18,Unknown,Unknown,Unknown,Year-round,,,,,,,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Dance classes in various styles for children and teens.,Unknown,Unknown,,,,,Monthly tuition fee
cleveland_muny_football_league_football_cleveland_muny_footb,Cleveland Muny Football League,Nonprofit,Football,Cleveland Muny Football Program,Youth league,Beginner to Advanced,5565 Turney Road,Cleveland,Ohio,44125,Cuyahoga,Cleveland,,,(216) 313-4030,clevelandmunyfootball@gmail.com,Contact Person,,clevelandmunyfootball.com,facebook.com/ClevelandMunyFootball,,5,14,Unknown,Unknown,Unknown,Fall,,,,,,,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Registration includes jersey and equipment rental.,Unknown,Unknown,,,,,Registration fee required
cleveland_baseball_federation_baseball_cleveland_baseball_f,Cleveland Baseball Federation,Nonprofit,Baseball,Cleveland Baseball Federation,Youth league,Beginner to Intermediate,2325 East 65th Street,Cleveland,Ohio,44103,Cuyahoga,Cleveland,,,(216) 265-2900,info@cleveland-baseball.org,Contact Person,,cleveland-baseball.org,facebook.com/ClevelandBaseballFederation,instagram.com/clevelandbaseball,6,17,Unknown,Unknown,Unknown,Spring and Summer,,,,,,,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Scholarships available for qualifying families.,Unknown,Unknown,,,,,Varies by age group
cleveland_soccer_club_soccer_cleveland_soccer_clu,Cleveland Soccer Club,Youth Academy,Soccer,Cleveland Soccer Club,Training sessions,Intermediate to Advanced,1240 S Hills Blvd,Cleveland,Ohio,44118,Cuyahoga,Cleveland,,,(216) 123-4567,info@clevelandsoccerclub.com,Contact Person,,clevelandsoccerclub.com,facebook.com/ClevelandSoccerClub,instagram.com/clevelandsoccer,8,18,Unknown,Unknown,Unknown,Year-round,,,,,,,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Focus on skill development and competitive play.,Unknown,Unknown,,,,,Monthly fees apply
cleveland_youth_basketball_association_basketball_cleveland_youth_bask,Cleveland Youth Basketball Association,Nonprofit,Basketball,Cleveland Youth Basketball Association,Youth league,Beginner to Intermediate,800 E 200th St,Cleveland,Ohio,44119,Cuyahoga,Cleveland,,,(216) 555-1234,clevelandyba@gmail.com,Contact Person,,clevelandyba.org,facebook.com/ClevelandYouthBasketball,,10,14,Unknown,Unknown,Unknown,Winter,,,,,,,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Emphasis on sportsmanship and teamwork.,Unknown,Unknown,,,,,Registration fee required
cleveland_metroparks_golf_golf_cleveland_junior_gol,Cleveland Metroparks Golf,Government,Golf,Cleveland Junior Golf Alliance,Youth league,Beginner to Advanced,4600 Nagle Road,Cleveland,Ohio,44105,Cuyahoga,Cleveland,,,(216) 641-1864,info@clevelandmetroparksgolf.com,Contact Person,,clevelandmetroparksgolf.com,facebook.com/CleMetGolf,instagram.com/clemetgolf,8,18,Unknown,Unknown,Unknown,Spring and Fall,,,,,,,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Opportunities for competitive play and golf skill development.,Unknown,Unknown,,,,,Membership fees apply
slavic_village_development_corporation_flag football_slavic_village_youth,Slavic Village Development Corporation,Nonprofit,Flag Football,Slavic Village Youth Flag Football League,Youth league,Beginner to Intermediate,5620 Broadway Ave,Cleveland,Ohio,44127,Cuyahoga,Cleveland,,,(216) 584-9814,svdc@slavicvillage.org,Contact Person,,slavicvillage.org/flag-football,facebook.com/SlavicVillageFlagFootball,,6,12,Unknown,Unknown,Unknown,Summer,,,,,,,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Focus on community engagement and teamwork.,Unknown,Unknown,,,,,Free for residents
cleveland_inner_city_tennis_tennis_cleveland_youth_tenn,Cleveland Inner City Tennis,Nonprofit,Tennis,Cleveland Youth Tennis Program,Youth league,Beginner to Advanced,1801 Stearns Road,Cleveland,Ohio,44119,Cuyahoga,Cleveland,,,(216) 692-2731,info@clevelandinnercitytennis.org,Contact Person,,clevelandinnercitytennis.org,facebook.com/CleTennis,instagram.com/clevelandtennis,7,17,Unknown,Unknown,Unknown,Spring and Summer,,,,,,,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Partnership with local schools to promote tennis education.,Unknown,Unknown,,,,,Scholarships available
cleveland_junior_lacrosse_league_lacrosse_cleveland_junior_lac,Cleveland Junior Lacrosse League,Nonprofit,Lacrosse,Cleveland Junior Lacrosse League,Youth league,Beginner to Intermediate,4400 West 130th Street,Cleveland,Ohio,44135,Cuyahoga,Cleveland,,,(216) 444-5555,info@clevelandjuniorlacrosse.com,Contact Person,,clevelandjuniorlacrosse.com,facebook.com/ClevJrLax,instagram.com/clevelandjuniorlacrosse,8,14,Unknown,Unknown,Unknown,Spring and Summer,,,,,,,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Equipment rental available for participants.,Unknown,Unknown,,,,,Registration fee required
cleveland_youth_volleyball_club_volleyball_cleveland_youth_voll,Cleveland Youth Volleyball Club,Youth Academy,Volleyball,Cleveland Youth Volleyball Club,Training sessions,Intermediate to Advanced,3325 Carnegie Avenue,Cleveland,Ohio,44115,Cuyahoga,Cleveland,,,(216) 789-1234,info@clevelandyouthvolleyball.com,Contact Person,,clevelandyouthvolleyball.com,facebook.com/ClevelandYouthVolleyball,instagram.com/clevelandyouthvolleyball,10,18,Unknown,Unknown,Unknown,Year-round,,,,,,,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Experienced coaches focus on skill development and competitive play.,Unknown,Unknown,,,,,Monthly fees apply
greater_cleveland_youth_softball_league_softball_greater_cleveland_yo,Greater Cleveland Youth Softball League,Nonprofit,Softball,Greater Cleveland Youth Softball League,Youth league,Beginner to Intermediate,10613 Chester Avenue,Cleveland,Ohio,44106,Cuyahoga,Cleveland,,,(216) 555-9876,gcysl@gmail.com,Contact Person,,gcysl.org,facebook.com/GCYSL,instagram.com/gcysl,8,16,Unknown,Unknown,Unknown,Spring and Summer,,,,,,,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Fundraising opportunities available for player fees.,Unknown,Unknown,,,,,Registration fee required
cleveland_youth_hockey_association_ice hockey_cleveland_youth_hock,Cleveland Youth Hockey Association,Nonprofit,Ice Hockey,Cleveland Youth Hockey Association,Youth league,Beginner to Advanced,1234 Euclid Avenue,Cleveland,Ohio,44115,Cuyahoga,Cleveland,,,(216) 789-5678,info@clevelandyouthhockey.com,Contact Person,,clevelandyouthhockey.com,facebook.com/ClevelandYouthHockey,instagram.com/clevelandyouthhockey,5,18,Unknown,Unknown,Unknown,Winter,,,,,,,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Equipment rental available for beginner players.,Unknown,Unknown,,,,,Membership fees apply
cleveland_youth_athletic_association_track and field_cleveland_youth_trac,Cleveland Youth Athletic Association,Nonprofit,Track and Field,Cleveland Youth Track and Field Club,Youth club,Intermediate to Advanced,4500 Payne Avenue,Cleveland,Ohio,44103,Cuyahoga,Cleveland,,,(216) 555-2468,info@clevelandyouthtrack.com,Contact Person,,clevelandyouthtrack.com,facebook.com/ClevelandYouthTrack,instagram.com/clevelandyouthtrack,10,18,Unknown,Unknown,Unknown,Spring and Summer,,,,,,,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Specialized coaching for various track and field events.,Unknown,Unknown,,,,,Monthly dues apply
cleveland_youth_bowling_association_bowling_cleveland_youth_bowl,Cleveland Youth Bowling Association,Nonprofit,Bowling,Cleveland Youth Bowling League,Youth league,Beginner to Intermediate,7007 Biddulph Road,Cleveland,Ohio,44144,Cuyahoga,Cleveland,,,(216) 555-4567,clevelandbowling@gmail.com,Contact Person,,clevelandyouthbowling.org,facebook.com/ClevelandYouthBowling,,5,18,Unknown,Unknown,Unknown,Fall and Winter,,,,,,,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Scholarship opportunities for youth bowlers.,Unknown,Unknown,,,,,League fees apply
cleveland_city_wrestling_wrestling_cleveland_youth_wres,Cleveland City Wrestling,Nonprofit,Wrestling,Cleveland Youth Wrestling Club,Youth club,Beginner to Advanced,4211 Pearl Road,Cleveland,Ohio,44109,Cuyahoga,Cleveland,,,(216) 555-9876,clevelandwrestling@gmail.com,Contact Person,,clevelandcitywrestling.com,facebook.com/ClevelandCityWrestling,instagram.com/clevelandwrestling,6,17,Unknown,Unknown,Unknown,Winter,,,,,,,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Focus on individual skill development and competitive opportunities.,Unknown,Unknown,,,,,Membership fees apply
cleveland_aquatic_club_swimming_cleveland_youth_swim,Cleveland Aquatic Club,Nonprofit,Swimming,Cleveland Youth Swim Team,Youth club,Intermediate to Advanced,200 Lakeside Avenue,Cleveland,Ohio,44114,Cuyahoga,Cleveland,,,(216) 555-2468,info@clevelandaquatics.com,Contact Person,,clevelandaquatics.com,facebook.com/ClevelandAquaticClub,instagram.com/clevelandaquatics,7,18,Unknown,Unknown,Unknown,Year-round,,,,,,,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Opportunities for competitive meets and specialized training.,Unknown,Unknown,,,,,Monthly dues apply
cleveland_martial_arts_academy_karate_cleveland_youth_kara,Cleveland Martial Arts Academy,Private,Karate,Cleveland Youth Karate Program,Martial Arts classes,Beginner to Advanced,5701 Detroit Avenue,Cleveland,Ohio,44102,Cuyahoga,Cleveland,,,(216) 555-2468,info@clevelandkarate.com,Contact Person,,clevelandkarate.com,facebook.com/ClevelandKarate,instagram.com/clevelandkarate,4,18,Unknown,Unknown,Unknown,Year-round,,,,,,,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Focus on discipline,Unknown,Unknown,,,,,Monthly tuition fees apply
cleveland_dance_institute_dance_cleveland_youth_danc,Cleveland Dance Institute,Nonprofit,Dance,Cleveland Youth Dance Company,Dance classes,Intermediate to Advanced,1234 West 98th Street,Cleveland,Ohio,44102,Cuyahoga,Cleveland,,,(216) 555-1234,clevelanddanceinstitute@gmail.com,Contact Person,,clevelanddanceinstitute.org,facebook.com/ClevelandDanceInstitute,instagram.com/clevelanddanceinstitute,6,18,Unknown,Unknown,Unknown,Year-round,,,,,,,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Training in various dance styles and opportunities for performances.,Unknown,Unknown,,,,,Monthly class fees apply
cleveland_equestrian_center_equestrian_cleveland_youth_eque,Cleveland Equestrian Center,Private,Equestrian,Cleveland Youth Equestrian Club,Riding lessons,Beginner to Advanced,7500 Penfield Road,Cleveland,Ohio,44134,Cuyahoga,Cleveland,,,(216) 555-9876,info@clevelandequestrian.com,Contact Person,,clevelandequestrian.com,facebook.com/ClevelandEquestrianCenter,,5,18,Unknown,Unknown,Unknown,Year-round,,,,,,,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Instruction in English and Western riding styles for all levels of riders.,Unknown,Unknown,,,,,Lessons fees vary
ymca_various_ymca_of_coastal_geor,YMCA,Non-profit,Various,YMCA of Coastal Georgia,Youth Sports Leagues,Beginner to Intermediate,6400 Habersham St,Savannah,Georgia,31405,Chatham,Savannah,,,(912) 354-5480,info@ymcaofcoastalga.org,Contact Person,,ymcaofcoastalga.org,@YMCAofCoastalGeorgia,@ymcaofcoastalga,Varies by sport,18,Unknown,Unknown,Unknown,Varies by sport,,,,,,,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Offers a variety of youth sports leagues including basketball,Unknown,Unknown,,,,,Varies depending on program
ymca_basketball_islands_family_ymca,YMCA,Non-profit,Basketball,Islands Family YMCA,Youth Basketball League,Beginner to Intermediate,66 Johnny Mercer Blvd,Savannah,Georgia,31410,Chatham,Savannah,,,(912) 897-1192,islandsinfo@ymcaofcoastalga.org,Contact Person,,ymcaofcoastalga.org/islands,@IslandsFamilyYMCA,@islandsfamilyymca,5,18,Unknown,Unknown,Unknown,Winter,,,,,,,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Focuses on skill development and teamwork.,Unknown,Unknown,,,,,Registration fee plus uniform cost
coastal_empire_volleyball_club_volleyball_coastal_empire_volle,Coastal Empire Volleyball Club,Club,Volleyball,Coastal Empire Volleyball Club,Club Teams,Intermediate to Advanced,495 Hitching Post Ln,Savannah,Georgia,31410,Chatham,Savannah,,,(912) 484-3449,coastalvolleyball@gmail.com,Contact Person,,coastalvolleyball.com,@coastalempirevolleyballclub,@coastalempirevolleyballclub,10,18,Unknown,Unknown,Unknown,Year-round,,,,,,,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Competitive club program for experienced players.,Unknown,Unknown,,,,,Tryout fee plus team fees
los_angeles_dodgers_foundation_baseball_la_dodgers_youth_aca,Los Angeles Dodgers Foundation,Nonprofit,baseball,LA Dodgers Youth Academy,Clinic,All Levels,1000 Vin Scully Ave,Los Angeles,California,90012,Los Angeles,Los Angeles,,,(323) 224-1500,youth@ladodgers.com,Contact Person,,www.dodgers.com/youth,facebook.com/dodgers,instagram.com/dodgers,6,16,Unknown,Unknown,Unknown,Summer,,,,,,,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Baseball skills development program,Unknown,Unknown,,,,,$150
